,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
[L](ca://s?q=L),1196,LOCAL,local,GENERAL NZ,from here,He’s a local.,
[L](ca://s?q=L),1197,LOCK IN,lock in|locked in|locking in,TEEN,confirm,Lock in Friday.,
[L](ca://s?q=L),1198,LOCKED,locked,TEEN,decided,It’s locked now.,
[L](ca://s?q=L),1199,LOCKED IN,locked in,TEEN,fully focused,He’s locked in.,
[L](ca://s?q=L),1200,LOG OFF,log off|logged off|logging off,TEEN,sign out,I’m logging off.,
[L](ca://s?q=L),1201,LOL,lol,TEEN,laugh,"Lol, that’s funny.",
[L](ca://s?q=L),1202,LONER,loner,TEEN,isolated person,He’s a loner.,
[L](ca://s?q=L),1203,LONG,long,TEEN,dragging,This day is long.,
[L](ca://s?q=L),1204,LOOK,look|looked|looking,TEEN,style,That’s a whole look.,
[L](ca://s?q=L),1205,LOOKING,looking,TEEN,appearance,You’re looking sharp.,
[L](ca://s?q=L),1206,LOOM,loom|loomed|looming,TEEN,approach,Exams are looming.,
[L](ca://s?q=L),1207,LOOPED,looped,TEEN,confused,I’m looped after that convo.,
[L](ca://s?q=L),1208,LOOSE,loose,TEEN,wild,That party was loose.,
[L](ca://s?q=L),1209,LOST,lost,TEEN,confused,"I’m lost, bro.",
[L](ca://s?q=L),1210,LOUD,loud,TEEN,attention-seeking,That outfit is loud.,
[L](ca://s?q=L),1211,LOVE,love|loved|loving,TEEN,really like,I’m loving this track.,
[L](ca://s?q=L),1212,LOW-KEY,low-key,TEEN,subtle,I low-key agree.,
[L](ca://s?q=L),1213,LOYAL,loyal,TEEN,faithful,He’s loyal as.,
[L](ca://s?q=L),1214,LUCKY,lucky,TEEN,fortunate,"You’re lucky, bro.",
[L](ca://s?q=L),1215,LURK,lurk|lurked|lurking,TEEN,watch silently,He’s lurking in the chat.,
[L](ca://s?q=L),1216,LUSH,lush,TEEN,nice,That view is lush.,
[L](ca://s?q=L),1217,LUV,luv,TEEN,love,"Luv ya, bro.",
[L](ca://s?q=L),1218,LYRICS,lyrics,TEEN,song words,Those lyrics hit hard.,
[M](ca://s?q=M),1219,M8,m8,TEEN,mate,"You good, m8.",
[M](ca://s?q=M),1220,MAJOR,major,TEEN,big,That’s a major fail.,
[M](ca://s?q=M),1221,MAKE IT,make it,TEEN,succeed,"You’ll make it, bro.",
[M](ca://s?q=M),1222,MANA,mana,MAORI GENERAL,respect,He’s got mana.,
[M](ca://s?q=M),1223,MANGLED,mangled,TEEN,wrecked,That car is mangled.,
[M](ca://s?q=M),1224,MANIAC,maniac,TEEN,wild person,He’s a maniac on the field.,
[M](ca://s?q=M),1225,MASSIVE,massive,TEEN,huge,That win was massive.,
[M](ca://s?q=M),1226,MATE,mate,GENERAL NZ,friend,"Cheers, mate.",
[M](ca://s?q=M),1227,MATEY,matey,GENERAL NZ,friendly,He’s pretty matey.,
[M](ca://s?q=M),1228,MAYBE,maybe,TEEN,uncertain,"Maybe, not sure yet.",
[M](ca://s?q=M),1229,MEAN,mean,GENERAL NZ,awesome,"That was mean, bro.",
[M](ca://s?q=M),1230,MEAN AS,mean as,GENERAL NZ,very awesome,That try was mean as.,
[M](ca://s?q=M),1231,MEGA,mega,TEEN,huge,That’s mega cool.,
[M](ca://s?q=M),1232,MESS,mess,TEEN,chaotic person,He’s a mess today.,
[M](ca://s?q=M),1233,MESSY,messy,TEEN,chaotic,That situation is messy.,
[M](ca://s?q=M),1234,MIA,mia,TEEN,missing,He’s mia again.,
[M](ca://s?q=M),1235,MIC DROP,mic drop,TEEN,end strongly,That was a mic drop moment.,
[M](ca://s?q=M),1236,MID,mid,TEEN,average,That movie was mid.,
[M](ca://s?q=M),1237,MINCE,mince|minced|mincing,GENERAL NZ,walk awkwardly,He minced down the hall.,
[M](ca://s?q=M),1238,MINT,mint,GENERAL NZ,excellent,That car is mint.,
[M](ca://s?q=M),1239,MINT AS,mint as,GENERAL NZ,very excellent,That setup is mint as.,
[M](ca://s?q=M),1240,MISCHIEF,mischief,TEEN,trouble,He’s up to mischief.,
[M](ca://s?q=M),1241,MISSED,missed,TEEN,failed to see,I missed that joke.,
[M](ca://s?q=M),1242,MISSUS,missus,GENERAL NZ,girlfriend,His missus is coming.,
[M](ca://s?q=M),1243,MIX,mix|mixed|mixing,TEEN,blend,We mixed the tracks.,
[M](ca://s?q=M),1244,MIXED,mixed,TEEN,uncertain,I’m mixed on that.,
[M](ca://s?q=M),1245,MIXTAPE,mixtape,TEEN,music collection,He dropped a mixtape.,
[M](ca://s?q=M),1246,MOOD,mood,TEEN,relatable feeling,That’s a mood.,
[M](ca://s?q=M),1247,MOODY,moody,TEEN,grumpy,He’s moody today.,
[M](ca://s?q=M),1248,MOON,moon|mooned|mooning,TEEN,show bum,He mooned the bus.,
[M](ca://s?q=M),1249,MOREISH,moreish,GENERAL NZ,hard to stop eating,Those chips are moreish.,
[M](ca://s?q=M),1250,MOTU,motu,MAORI GENERAL,island,Across the motu.,
[M](ca://s?q=M),1251,MOTIVATE,motivate|motivated|motivating,TEEN,hype up,That speech motivated us.,
[M](ca://s?q=M),1252,MOTIVATED,motivated,TEEN,keen,I’m motivated today.,
[M](ca://s?q=M),1253,MOUTHY,mouthy,TEEN,talks back,He’s getting mouthy.,
[M](ca://s?q=M),1254,MUCK,muck|mucked|mucking,GENERAL NZ,mess around,Stop mucking about.,
[M](ca://s?q=M),1255,MUCK UP,muck up|mucked up|mucking up,GENERAL NZ,mess up,He mucked up the test.,
[M](ca://s?q=M),1256,MUG,mug|mugged|mugging,TEEN,fool,Don’t be a mug.,
[M](ca://s?q=M),1257,MUGGY,muggy,TEEN,humid,It’s muggy today.,
[M](ca://s?q=M),1258,MULTI,multi,TEEN,multiplayer,Jump on multi.,
[M](ca://s?q=M),1259,MUNCH,munch|munched|munching,TEEN,eat,We’re munching snacks.,
[M](ca://s?q=M),1260,MUNT,munt|munted|munting,GENERAL NZ,broken,My phone’s munted.,
[M](ca://s?q=M),1261,MUPPET,muppet,TEEN,idiot,He’s a muppet.,
[M](ca://s?q=M),1262,MUSH,mush,TEEN,soft,That bread is mush.,
[M](ca://s?q=M),1263,MUSHY,mushy,TEEN,emotional,He’s getting mushy.,
[M](ca://s?q=M),1264,MUTTER,mutter|muttered|muttering,TEEN,complain quietly,He muttered under his breath.,
,,MVP,MVP,GENERAL NZ,most valuable player,He scored all the goals so obviously was the MVP today.,
[N](ca://s?q=N),1265,NAB,nab|nabbed|nabbing,TEEN,grab,I nabbed the last one.,
[N](ca://s?q=N),1266,NADA,nada,TEEN,nothing,I got nada.,
[N](ca://s?q=N),1267,NAH,nah,TEEN,no,"Nah, I’m good.",
[N](ca://s?q=N),1268,NAILED IT,nailed it,TEEN,did well,You nailed it.,
[N](ca://s?q=N),1269,NAKED,naked,TEEN,exposed,I feel naked without my phone.,
[N](ca://s?q=N),1270,NANA,nana,GENERAL NZ,grandmother,Visit your nana.,
[N](ca://s?q=N),1271,NARROW,narrow,TEEN,close call,That was narrow.,
[N](ca://s?q=N),1272,NARROW AS,narrow as,TEEN,very close,That win was narrow as.,
[N](ca://s?q=N),1273,NARUTO RUN,naruto run,TEEN,run with arms back,He did a naruto run.,
[N](ca://s?q=N),1274,NATURAL,natural,TEEN,talented,He’s a natural.,
[N](ca://s?q=N),1275,NAW,naw,TEEN,no,"Naw, not today.",
[N](ca://s?q=N),1276,NEARLY,nearly,TEEN,almost,I nearly fell.,
[N](ca://s?q=N),1277,NEAT,neat,TEEN,cool,That’s neat.,
[N](ca://s?q=N),1278,NEEDY,needy,TEEN,clingy,He’s being needy.,
[N](ca://s?q=N),1279,NEG,neg|negged|negging,TEEN,insult subtly,He negged her.,
[N](ca://s?q=N),1280,NERD,nerd,TEEN,geek,He’s a nerd.,
[N](ca://s?q=N),1281,NERDY,nerdy,TEEN,geeky,That’s nerdy.,
[N](ca://s?q=N),1282,NEST,nest,TEEN,home,Back to the nest.,
[N](ca://s?q=N),1283,NET,net,TEEN,internet,Bad net today.,
[N](ca://s?q=N),1284,NETFLIX,netflix,TEEN,streaming,We’re on Netflix.,
[N](ca://s?q=N),1285,NETFLIX AND CHILL,netflix and chill,TEEN,hang romantically,They netflix and chilled.,
[N](ca://s?q=N),1286,NEVERMIND,nevermind,TEEN,ignore it,"Nevermind, bro.",
[N](ca://s?q=N),1287,NEWBIE,newbie,TEEN,beginner,He’s a newbie.,
[N](ca://s?q=N),1288,NEWS,news,TEEN,gossip,What’s the news.,
[N](ca://s?q=N),1289,NEXT LEVEL,next level,TEEN,advanced,That was next level.,
[N](ca://s?q=N),1290,NGL,ngl,TEEN,not gonna lie,"Ngl, that was rough.",
[N](ca://s?q=N),1291,NICE,nice,TEEN,good,"Nice one, bro.",
[N](ca://s?q=N),1292,NICE AS,nice as,TEEN,very good,That was nice as.,
[N](ca://s?q=N),1293,NICK,nick|nicked|nicking,TEEN,steal,He nicked my charger.,
[N](ca://s?q=N),1294,NIGHTMARE,nightmare,TEEN,terrible,That was a nightmare.,
[N](ca://s?q=N),1295,NIPPY,nippy,GENERAL NZ,cold,It’s nippy today.,
[N](ca://s?q=N),1296,NITRO,nitro,TEEN,boost,Hit the nitro.,
[N](ca://s?q=N),1297,NOB,nob,TEEN,idiot,He’s a nob.,
[N](ca://s?q=N),1298,NOD,nod|nodded|nodding,TEEN,agree,I nodded along.,
[N](ca://s?q=N),1299,NOM,nom|nommed|nomming,TEEN,eat,We’re nomming snacks.,
[N](ca://s?q=N),1300,NOMAD,nomad,TEEN,always moving,He’s a nomad.,
[N](ca://s?q=N),1301,NOOB,noob,TEEN,beginner,He’s such a noob.,
[N](ca://s?q=N),1302,NOODLE,noodle,TEEN,head,Use your noodle.,
[N](ca://s?q=N),1303,NOPE,nope,TEEN,no,"Nope, not doing that.",
[N](ca://s?q=N),1304,NORMAL,normal,TEEN,usual,That’s normal.,
[N](ca://s?q=N),1305,NOSY,nosy,TEEN,too curious,Stop being nosy.,
[N](ca://s?q=N),1306,NOTHINGBURGER,nothingburger,TEEN,non-event,That drama was a nothingburger.,
[N](ca://s?q=N),1307,NOT MY PROBLEM,not my problem,TEEN,don’t care,"Not my problem, bro.",
[N](ca://s?q=N),1308,NOT TODAY,not today,TEEN,refuse,"Not today, mate.",
[N](ca://s?q=N),1309,NPC,npc,TEEN,unoriginal person,He’s acting like an npc.,
[N](ca://s?q=N),1310,NUFF,nuff,TEEN,enough,That’s nuff.,
[N](ca://s?q=N),1311,NUGGET,nugget,TEEN,fool,Don’t be a nugget.,
[N](ca://s?q=N),1312,NUI,nui,MAORI GENERAL,big,That’s nui news.,
[N](ca://s?q=N),1313,NUKE,nuke|nuked|nuking,TEEN,destroy,He nuked the level.,
[N](ca://s?q=N),1314,NULL,null,TEEN,empty,My brain is null today.,
[N](ca://s?q=N),1315,NUMPTY,numpty,TEEN,idiot,He’s a numpty.,
[N](ca://s?q=N),1316,NUTTER,nutter,TEEN,crazy person,He’s a nutter.,
[N](ca://s?q=N),1317,NUTTY,nutty,TEEN,wild,That plan is nutty.,
[O](ca://s?q=O),1318,OATH,oath,GENERAL NZ,agreement,"Yeah, oath.",
,,ODDS,against the odds,GENERAL NZ,even though unlikely,He managed to win against the odds as it was his first marathon race.,
,,ODDS ON,ODDS ON,GENERAL NZ,Very likely,His horse is odds on favourite to win.,
[O](ca://s?q=O),1319,OFC,ofc,TEEN,of course,Ofc I’m coming.,
[O](ca://s?q=O),1320,OFF,off,TEEN,weird vibe,That feels off.,
[O](ca://s?q=O),1321,OFF AS,off as,TEEN,very weird,That’s off as.,
[O](ca://s?q=O),1322,OFFLINE,offline,TEEN,not responding,He’s offline again.,
[O](ca://s?q=O),1323,OG,og,TEEN,original,He’s the og of the group.,
[O](ca://s?q=O),1324,OH WELL,oh well,TEEN,acceptance,"Oh well, next time.",
[O](ca://s?q=O),1325,OHO,oho,TEEN,surprised,"Oho, look at that.",
[O](ca://s?q=O),1326,OIL,oil,GENERAL NZ,gossip,What’s the oil on that?,
[O](ca://s?q=O),1327,OKEY,okey,TEEN,okay,"Okey, let’s go.",
[O](ca://s?q=O),1328,ON,on,TEEN,keen,I’m on for that.,
[O](ca://s?q=O),1329,ON FORM,on form,TEEN,performing well,He’s on form today.,
[O](ca://s?q=O),1330,ON POINT,on point,TEEN,perfect,That fit is on point.,
[O](ca://s?q=O),1331,ON THE GO,on the go,TEEN,busy,I’m on the go all day.,
[O](ca://s?q=O),1332,ON YA,on ya,GENERAL NZ,good job,"On ya, mate.",
[O](ca://s?q=O),1333,ONE HUNDY,one hundy,GENERAL NZ,100 percent,"One hundy, bro.",
[O](ca://s?q=O),1334,ONE UP,one up|one-upped|one-upping,TEEN,outdo,He one-upped me.,
[O](ca://s?q=O),1335,OOMPH,oomph,TEEN,energy,That song’s got oomph.,
[O](ca://s?q=O),1336,OOTD,ootd,TEEN,outfit of the day,Posting my ootd.,
[O](ca://s?q=O),1337,OP,op,TEEN,overpowered,That weapon is op.,
[O](ca://s?q=O),1338,OPAQUE,opaque,TEEN,unclear,That rule is opaque.,
[O](ca://s?q=O),1339,OPEN,open,TEEN,honest,I’m being open here.,
[O](ca://s?q=O),1340,OPINIONATED,opinionated,TEEN,strong views,He’s opinionated today.,
[O](ca://s?q=O),1341,OPS,ops,TEEN,oops,"Ops, my bad.",
[O](ca://s?q=O),1342,OPT,opt|opted|opting,TEEN,choose,I opted out.,
[O](ca://s?q=O),1343,ORBIT,orbit|orbited|orbiting,TEEN,hover around,He’s orbiting her.,
[O](ca://s?q=O),1344,OREWA,orewa,GENERAL NZ,beach vibe,Feels like Orewa weather.,
[O](ca://s?q=O),1345,OUCH,ouch,TEEN,that hurts,"Ouch, harsh.",
[O](ca://s?q=O),1346,OUT,out,TEEN,not interested,I’m out.,
[O](ca://s?q=O),1347,OUT THE GATE,out the gate,GENERAL NZ,immediately,He was out the gate fast.,
[O](ca://s?q=O),1348,OUTBACK,outback,TEEN,remote,Feels outback here.,
[O](ca://s?q=O),1349,OUTFIT,outfit,TEEN,clothes,Nice outfit.,
[O](ca://s?q=O),1350,OUTSIDE,outside,TEEN,ready to fight,We can take it outside.,
[O](ca://s?q=O),1351,OVER IT,over it,TEEN,done,I’m over it.,
[O](ca://s?q=O),1352,OVERLOAD,overload,TEEN,too much,My brain’s on overload.,
[O](ca://s?q=O),1353,OVERSEAS,overseas,TEEN,abroad,He’s gone overseas.,
[O](ca://s?q=O),1354,OVERTHINK,overthink|overthought|overthinking,TEEN,think too much,I’m overthinking it.,
[O](ca://s?q=O),1355,OW,ow,GENERAL NZ,yes,"Ow, that’s mean.",
[P](ca://s?q=P),1356,PACE,pace|paced|pacing,TEEN,walk anxiously,He’s pacing again.,
[P](ca://s?q=P),1357,PACK,pack|packed|packing,TEEN,leave,We’re packing now.,
[P](ca://s?q=P),1358,PACK A SAD,pack a sad,GENERAL NZ,throw a tantrum,He packed a sad.,
[P](ca://s?q=P),1359,PACKED,packed,TEEN,full,The hall was packed.,
[P](ca://s?q=P),1360,PAKEHA,pakeha,MAORI GENERAL,non-Māori NZer,He’s pakeha.,
[P](ca://s?q=P),1361,PAL,pal,TEEN,friend,He’s my pal.,
[P](ca://s?q=P),1362,PALS,pals,TEEN,friends,We’re pals now.,
[P](ca://s?q=P),1363,PANIC,panic|panicked|panicking,TEEN,freak out,Don’t panic.,
[P](ca://s?q=P),1364,PANT,pant|panted|panting,TEEN,out of breath,I’m panting hard.,
[P](ca://s?q=P),1365,PAP,pap,MAORI GENERAL,flat,The tyre’s pap.,
[P](ca://s?q=P),1366,PAPER,paper,TEEN,test,We’ve got a paper tomorrow.,
[P](ca://s?q=P),1367,PAPPED,papped,TEEN,photographed,He got papped.,
[P](ca://s?q=P),1368,PARDON,pardon,TEEN,what,Pardon?,
[P](ca://s?q=P),1369,PARKED,parked,TEEN,stopped,I’m parked here.,
[P](ca://s?q=P),1370,PARTY,party|partied|partying,TEEN,celebrate,We partied all night.,
[P](ca://s?q=P),1371,PASS,pass|passed|passing,TEEN,skip,I’ll pass on that.,
[P](ca://s?q=P),1372,PASTA,pasta,TEEN,easy meal,We’re having pasta.,
[P](ca://s?q=P),1373,PATCH,patch|patched|patching,TEEN,kiss,They patched behind the hall.,
[P](ca://s?q=P),1374,PATCHED,patched,TEEN,in a gang,He’s patched now.,
[P](ca://s?q=P),1375,PATHETIC,pathetic,TEEN,weak,That excuse is pathetic.,
[P](ca://s?q=P),1376,PEACE,peace,TEEN,goodbye,"Peace, bro.",
[P](ca://s?q=P),1377,PEAK,peak,TEEN,worst moment,That was peak embarrassment.,
[P](ca://s?q=P),1378,PEAKED,peaked,TEEN,reached best,He peaked early.,
[P](ca://s?q=P),1379,PEARLER,pearler,GENERAL NZ,great thing,That was a pearler.,
[P](ca://s?q=P),1380,PEASANT,peasant,TEEN,low status,He’s a peasant.,
[P](ca://s?q=P),1381,PELT,pelt|pelted|pelting,TEEN,throw,They pelted him.,
[P](ca://s?q=P),1382,PENG,peng,TEEN,attractive,She’s peng.,
[P](ca://s?q=P),1383,PENNY,penny,TEEN,brain,Use your penny.,
[P](ca://s?q=P),1384,PEPEHA,pepeha,MAORI GENERAL,identity intro,Share your pepeha.,
[P](ca://s?q=P),1385,PERF,perf,TEEN,perfect,That’s perf.,
[P](ca://s?q=P),1386,PERK,perk,TEEN,benefit,That’s a perk.,
[P](ca://s?q=P),1387,PERKY,perky,TEEN,energetic,She’s perky today.,
[P](ca://s?q=P),1388,PETTY,petty,TEEN,small‑minded,That’s petty.,
[P](ca://s?q=P),1389,PHASE,phase|phased|phasing,TEEN,not bothered,I’m not phased.,
[P](ca://s?q=P),1390,PHAT,phat,TEEN,cool,That beat is phat.,
[P](ca://s?q=P),1391,PHOTOSHOP,photoshop|photoshopped|photoshopping,TEEN,edit,He photoshopped it.,
[P](ca://s?q=P),1392,PHWOAR,phwoar,TEEN,impressed,"Phwoar, look at that.",
[P](ca://s?q=P),1393,PICK,pick|picked|picking,TEEN,choose,Pick one.,
[P](ca://s?q=P),1394,PICKY,picky,TEEN,fussy,He’s picky with food.,
[P](ca://s?q=P),1395,PIECE,piece,TEEN,gun,He’s carrying a piece.,
[P](ca://s?q=P),1396,PIKIAO,pikiao,MAORI GENERAL,lift up,Pikiao your head.,
[P](ca://s?q=P),1397,PILOT,pilot,TEEN,test version,It’s a pilot.,
[P](ca://s?q=P),1398,PINK,pink,TEEN,embarrassed,I’m pink after that.,
[P](ca://s?q=P),1399,PIP,pip|pipped|pipping,GENERAL NZ,beat narrowly,He pipped me.,
[P](ca://s?q=P),1400,PIPED,piped,TEEN,ignored,He piped me.,
[P](ca://s?q=P),1401,PIPING,piping,TEEN,calling out,She’s piping up again.,
[P](ca://s?q=P),1402,PISS,piss|pissed|pissing,GENERAL NZ,angry,He’s pissed.,
[P](ca://s?q=P),1403,PISS OFF,piss off|pissed off|pissing off,GENERAL NZ,go away,"Piss off, mate.",
[P](ca://s?q=P),1404,PIT,pit|pitted|pitting,TEEN,fight,They pitted after school.,
[P](ca://s?q=P),1405,PITY,pity,TEEN,feel sorry,I pity him.,
[P](ca://s?q=P),1406,PIXELATED,pixelated,TEEN,blurry,The vid is pixelated.,
[P](ca://s?q=P),1407,PLANK,plank,TEEN,idiot,Don’t be a plank.,
[P](ca://s?q=P),1408,PLASTERED,plastered,TEEN,very drunk,He was plastered.,
[P](ca://s?q=P),1409,PLAY,play|played|playing,TEEN,flirt,She’s playing him.,
[P](ca://s?q=P),1410,PLAYER,player,TEEN,flirty person,He’s a player.,
[P](ca://s?q=P),1411,PLAYING UP,playing up,TEEN,misbehaving,The kids are playing up.,
[P](ca://s?q=P),1412,PLEB,pleb,TEEN,low status,He’s a pleb.,
[P](ca://s?q=P),1413,PLONKER,plonker,TEEN,idiot,He’s a plonker.,
[P](ca://s?q=P),1414,PLOT,plot|plotted|plotting,TEEN,scheme,They’re plotting something.,
[P](ca://s?q=P),1415,PLUG,plug,TEEN,connection,He’s the plug.,
[P](ca://s?q=P),1416,PLUGGED,plugged,TEEN,connected,He’s plugged in.,
[P](ca://s?q=P),1417,PLUSH,plush,TEEN,luxurious,That room is plush.,
[P](ca://s?q=P),1418,POG,pog,TEEN,awesome,That’s pog.,
[P](ca://s?q=P),1419,POINTLESS,pointless,TEEN,no purpose,That’s pointless.,
[P](ca://s?q=P),1420,POISONED,poisoned,TEEN,angry,She’s poisoned at him.,
[P](ca://s?q=P),1421,POKE,poke|poked|poking,TEEN,annoy,Stop poking me.,
[P](ca://s?q=P),1422,POLISHED,polished,TEEN,well done,That was polished.,
[P](ca://s?q=P),1423,PONG,pong,GENERAL NZ,bad smell,That pong is awful.,
[P](ca://s?q=P),1424,PONGY,pongy,GENERAL NZ,smelly,It’s pongy in here.,
[P](ca://s?q=P),1425,POOF,poof,TEEN,gone,"He’s gone, poof.",
[P](ca://s?q=P),1426,POPPED,pop|popped|popping,TEEN,showed up,He popped in.,
[P](ca://s?q=P),1427,POP OFF,pop off|popped off|popping off,TEEN,go wild,She popped off on stage.,
[P](ca://s?q=P),1428,POPULAR,popular,TEEN,well liked,She’s popular at school.,
[P](ca://s?q=P),1429,POSER,poser,TEEN,fake,He’s such a poser.,
[P](ca://s?q=P),1430,POSH,posh,TEEN,fancy,That café is posh.,
[P](ca://s?q=P),1431,POSITIVE,positive,TEEN,optimistic,Stay positive.,
[P](ca://s?q=P),1432,POST,post|posted|posting,TEEN,upload,I posted it.,
[P](ca://s?q=P),1433,POST UP,post up|posted up|posting up,TEEN,wait around,We’re posted up outside.,
[P](ca://s?q=P),1434,POTTY,potty,TEEN,crazy,That idea is potty.,
[P](ca://s?q=P),1435,POUT,pout|pouted|pouting,TEEN,stick out lips,She’s pouting again.,
[P](ca://s?q=P),1436,POWER UP,power up|powered up|powering up,TEEN,energise,Time to power up.,
[P](ca://s?q=P),1437,PRAISE,praise|praised|praising,TEEN,compliment,Praise where it’s due.,
[P](ca://s?q=P),1438,PRANG,prang|pranged|pranging,GENERAL NZ,crash,He pranged the car.,
[P](ca://s?q=P),1439,PRANK,prank|pranked|pranking,TEEN,trick,We pranked him.,
[P](ca://s?q=P),1440,PREACH,preach|preached|preaching,TEEN,agree strongly,"Preach, bro.",
[P](ca://s?q=P),1441,PREPPY,preppy,TEEN,tidy style,He’s looking preppy.,
[P](ca://s?q=P),1442,PRESS,press|pressed|pressing,TEEN,annoy,Stop pressing me.,
[P](ca://s?q=P),1443,PRESSURED,pressured,TEEN,stressed,I’m pressured today.,
[P](ca://s?q=P),1444,PRETTY MUCH,pretty much,TEEN,almost,Pretty much done.,
[P](ca://s?q=P),1445,PRICKLY,prickly,TEEN,touchy,He’s prickly today.,
[P](ca://s?q=P),1446,PRIME,prime,TEEN,excellent,That was prime.,
[P](ca://s?q=P),1447,PRIV,priv,TEEN,private message,Send a priv.,
[P](ca://s?q=P),1448,PRO,pro,TEEN,professional,He’s pro level.,
[P](ca://s?q=P),1449,PROBLEMATIC,problematic,TEEN,troublesome,That’s problematic.,
[P](ca://s?q=P),1450,PROCRASTINATE,procrastinate|procrastinated|procrastinating,TEEN,delay,Stop procrastinating.,
[P](ca://s?q=P),1451,PROOF,proof,TEEN,evidence,Show me proof.,
[P](ca://s?q=P),1452,PROPER,proper,TEEN,really,That was proper good.,
[P](ca://s?q=P),1453,PROPS,props,TEEN,respect,Props to you.,
[P](ca://s?q=P),1454,PROUD,proud,TEEN,pleased,I’m proud of you.,
[P](ca://s?q=P),1455,PROWL,prowl|prowled|prowling,TEEN,look around,He’s prowling the halls.,
[P](ca://s?q=P),1456,PSYCHED,psyched,TEEN,excited,I’m psyched for this.,
[P](ca://s?q=P),1457,PUMPED,pumped,TEEN,energised,We’re pumped.,
[P](ca://s?q=P),1458,PUNCHY,punchy,TEEN,energetic,That line was punchy.,
[P](ca://s?q=P),1459,PUNK,punk,TEEN,troublemaker,He’s a punk.,
[P](ca://s?q=P),1460,PUNT,punt|punted|punting,GENERAL NZ,try,Give it a punt.,
[P](ca://s?q=P),1461,PUSHY,pushy,TEEN,forceful,She’s pushy today.,
[P](ca://s?q=P),1462,PUT ON,put on|putting on,TEEN,pretend,He’s putting it on.,
[P](ca://s?q=P),1463,PUTTY,putty,TEEN,easily influenced,He’s putty in her hands.,
[Q](ca://s?q=Q),1464,Q&A,q&a,TEEN,questions,We’re doing a q&a.,
[Q](ca://s?q=Q),1465,QUID,quid,TEEN,money,Got any quid?,
[Q](ca://s?q=Q),1466,QUIET AS,quiet as,TEEN,very quiet,He was quiet as.,
[Q](ca://s?q=Q),1467,QUICKIE,quickie,TEEN,fast job,Just a quickie task.,
[Q](ca://s?q=Q),1468,QUIP,quip|quipped|quipping,TEEN,joke,He quipped back.,
[Q](ca://s?q=Q),1469,QUIT,quit|quitting|quit,TEEN,stop,I quit that game.,
[R](ca://s?q=R),1470,RABBIT,rabbit,TEEN,talk too much,He’s rabbiting on.,
[R](ca://s?q=R),1471,RAGE,rage|raged|raging,TEEN,party,We raged last night.,
[R](ca://s?q=R),1472,RAGGED,ragged,TEEN,exhausted,I’m ragged today.,
[R](ca://s?q=R),1473,RANDOM,random,TEEN,unexpected,That was random.,
[R](ca://s?q=R),1474,RARK UP,rark up|rarked up|rarking up,GENERAL NZ,provoke,Don’t rark him up.,
[R](ca://s?q=R),1475,RATCHET,ratchet,TEEN,messy,That’s ratchet.,
[R](ca://s?q=R),1476,RATTLED,rattled,TEEN,shaken,He’s rattled.,
[R](ca://s?q=R),1477,RAVE,rave|raved|raving,TEEN,party,We’re raving tonight.,
[R](ca://s?q=R),1478,RAVING,raving,TEEN,enthusiastic,She’s raving about it.,
[R](ca://s?q=R),1479,REACT,react|reacted|reacting,TEEN,respond,He reacted fast.,
[R](ca://s?q=R),1480,READY,ready,TEEN,prepared,I’m ready.,
[R](ca://s?q=R),1481,REAL,real,TEEN,genuine,He’s real.,
[R](ca://s?q=R),1482,RECKON,reckon|reckoned|reckoning,GENERAL NZ,think,I reckon so.,
[R](ca://s?q=R),1483,RECKLESS,reckless,TEEN,careless,That was reckless.,
[R](ca://s?q=R),1484,RECORD,record|recorded|recording,TEEN,film,Record this.,
[R](ca://s?q=R),1485,RED FLAG,red flag,TEEN,warning sign,That’s a red flag.,
[R](ca://s?q=R),1486,REEK,reek|reeked|reeking,TEEN,smell bad,It reeks in here.,
[R](ca://s?q=R),1487,REEL,reel|reeled|reeling,TEEN,shock,I’m reeling.,
[R](ca://s?q=R),1488,REFRESH,refresh|refreshed|refreshing,TEEN,update,Refresh the page.,
[R](ca://s?q=R),1489,REGRET,regret|regretted|regretting,TEEN,wish otherwise,I regret that.,
[R](ca://s?q=R),1490,RELAX,relax|relaxed|relaxing,TEEN,calm down,"Relax, bro.",
[R](ca://s?q=R),1491,RELOAD,reload|reloaded|reloading,TEEN,restart,Reload the level.,
[R](ca://s?q=R),1492,RENT FREE,rent free,TEEN,obsessed,He lives rent free in your head.,
[R](ca://s?q=R),1493,REPLY,reply|replied|replying,TEEN,respond,Reply to me.,
[R](ca://s?q=R),1494,RESPECT,respect,TEEN,admiration,"Respect, bro.",
[R](ca://s?q=R),1495,RESTLESS,restless,TEEN,unable to relax,I’m restless.,
[R](ca://s?q=R),1496,RETRO,retro,TEEN,old‑school,That look is retro.,
[R](ca://s?q=R),1497,REVEAL,reveal|revealed|revealing,TEEN,show,Reveal it.,
[R](ca://s?q=R),1498,REVVED,revved,TEEN,excited,I’m revved up.,
[R](ca://s?q=R),1499,RICH,rich,TEEN,wealthy,He’s rich.,
[R](ca://s?q=R),1500,RIDE,ride|rode|riding,TEEN,support,I ride for you.,
[R](ca://s?q=R),1501,RIDIC,ridic,TEEN,ridiculous,That’s ridic.,
